"dataset","fine_tune_mode","seed","learning_rate","dropout","best_dev_accuracy","status"
"cfimdb","full-model","11711","0.0001","0.0","0.9591836734693877","done"
"cfimdb","full-model","11711","0.0002","0.0","0.9714285714285714","done"
"cfimdb","full-model","11711","0.0003","0.0","0.9714285714285714","done"
"cfimdb","full-model","11711","0.0005","0.0","0.9591836734693877","done"
"cfimdb","full-model","11711","0.0008","0.0","0.9673469387755103","done"
"cfimdb","full-model","11711","1e-05","0.0","0.9755102040816327","done"
"cfimdb","full-model","11711","1e-05","0.1","0.9755102040816327","done"
"cfimdb","full-model","11711","1e-05","0.3","0.9755102040816327","done"
"cfimdb","full-model","11711","2e-05","0.0","0.9836734693877551","done"
"cfimdb","full-model","11711","2e-05","0.1","0.9836734693877551","done"
"cfimdb","full-model","11711","2e-05","0.3","0.9714285714285714","done"
"cfimdb","full-model","11711","5e-05","0.0","0.9795918367346939","done"
"cfimdb","full-model","11711","5e-05","0.1","0.9673469387755103","done"
"cfimdb","full-model","11711","5e-05","0.3","0.9836734693877551","done"
"cfimdb","full-model","11711","8e-05","0.0","0.9591836734693877","done"
"cfimdb","last-linear-layer","11711","0.0001","0.0","0.8653061224489796","done"
"cfimdb","last-linear-layer","11711","0.0002","0.0","0.8408163265306122","done"
"cfimdb","last-linear-layer","11711","0.0005","0.0","0.8693877551020408","done"
"cfimdb","last-linear-layer","11711","0.001","0.0","0.9428571428571428","done"
"cfimdb","last-linear-layer","11711","0.0015","0.0","0.9306122448979591","done"
"cfimdb","last-linear-layer","11711","0.002","0.0","0.8489795918367347","done"
"cfimdb","last-linear-layer","11711","0.003","0.0","0.8408163265306122","done"
"sst","full-model","1125","2e-05","0.3","0.5186194368755677","done"
"sst","full-model","11711","0.0001","0.0","0.47956403269754766","done"
"sst","full-model","11711","0.00015","0.0","0.4895549500454133","done"
"sst","full-model","11711","0.0002","0.0","0.47593097184377836","done"
"sst","full-model","11711","0.00035","0.0","0.47956403269754766","done"
"sst","full-model","11711","0.0005","0.0","0.4641235240690282","done"
"sst","full-model","11711","1e-05","0.0","0.5158946412352406","done"
"sst","full-model","11711","1e-05","0.1","0.5158946412352406","done"
"sst","full-model","11711","1e-05","0.3","0.5131698455949137","done"
"sst","full-model","11711","1e-05","0.5","0.5095367847411444","done"
"sst","full-model","11711","2e-05","0.0","0.5258855585831063","done"
"sst","full-model","11711","2e-05","0.1","0.5158946412352406","done"
"sst","full-model","11711","2e-05","0.3","0.51952770208901","done"
"sst","full-model","11711","2e-05","0.5","0.5149863760217984","done"
"sst","full-model","11711","3e-05","0.0","0.49954586739327883","done"
"sst","full-model","11711","5e-05","0.0","0.5186194368755677","done"
"sst","full-model","11711","5e-05","0.1","0.5040871934604905","done"
"sst","full-model","11711","5e-05","0.3","0.5077202543142597","done"
"sst","full-model","11711","5e-05","0.5","0.4977293369663942","done"
"sst","full-model","11711","7e-05","0.0","0.48501362397820164","done"
"sst","full-model","11711","9e-05","0.0","0.48501362397820164","done"
"sst","full-model","42","2e-05","0.3","0.5177111716621253","done"
"sst","last-linear-layer","11711","0.0001","0.0","0.4359673024523161","done"
"sst","last-linear-layer","11711","0.0002","0.05","0.4359673024523161","done"
"sst","last-linear-layer","11711","0.0002","0.1","0.43415077202543145","done"
"sst","last-linear-layer","11711","0.0003","0.0","0.44868301544050865","done"
"sst","last-linear-layer","11711","0.0005","0.0","0.45958219800181654","done"
"sst","last-linear-layer","11711","0.0005","0.05","0.47229791099000906","done"
"sst","last-linear-layer","11711","0.0005","0.1","0.4677565849227975","done"
"sst","last-linear-layer","11711","0.001","0.0","0.45594913714804725","done"
"sst","last-linear-layer","11711","0.001","0.05","0.46139872842870117","done"
"sst","last-linear-layer","11711","0.001","0.1","0.45685740236148953","done"
"sst","last-linear-layer","11711","0.003","0.0","0.4623069936421435","done"
"sst","last-linear-layer","11711","0.005","0.0","0.45413260672116257","done"
"sst","last-linear-layer","11711","5e-05","0.0","0.4287011807447775","done"
